NER_Label,Entity,Counts
B-ORG,blu,4
B-ORG,blue,4
B-ORG,bmn,5
B-ORG,bmri,5
B-ORG,bmtr,6
B-ORG,bni,4
B-ORG,bo,2
B-ORG,bob,2
B-ORG,bobby,1
B-ORG,bontang,2
B-ORG,boot,2
B-ORG,bos,2
B-ORG,bos facebook,2
B-ORG,bos pertamina,2
B-ORG,bottom,1
B-ORG,box,5
B-ORG,boy,20
B-ORG,bp,28
B-ORG,bp statistical review,1
B-ORG,bpd,4
B-ORG,bpk,1
B-ORG,bpkm,2
B-ORG,bpn,1
B-ORG,bpp,6
B-ORG,bpp ) rata - rata listrik,2
B-ORG,bppt,1
B-ORG,bps,7
B-ORG,br,5
B-ORG,brantas,12
B-ORG,brasil,2
B-ORG,brata,2
B-ORG,brazil,2
B-ORG,bren,2
B-ORG,bri,68
B-ORG,brian reynolds,2
B-ORG,brief,1
B-ORG,bright,2
B-ORG,bright pln batam,2
B-ORG,bro,1
B-ORG,brookes,3
B-ORG,brpt,8
B-ORG,brunei darussalam,2
B-ORG,bs,2
B-ORG,bt,4
B-ORG,btel,2
B-ORG,btn,1
B-ORG,budi,17
B-ORG,bukit,27
B-ORG,bukit asam,5
B-ORG,bul,6
B-ORG,bulan,3
B-ORG,bulungan,1
B-ORG,bumn,311
B-ORG,bumn ) baterai,1
B-ORG,bumn ) minyak dan gas bumi,2
B-ORG,bumn baterai,1
B-ORG,bumn indonesia,2
B-ORG,bumn industri,2
B-ORG,bumn migas,2
B-ORG,bumn penyedia kelistrikan,2
B-ORG,bumn sektor kelistrikan,1
B-ORG,bumn tambang batu bara pt bukit asam tbk,2
B-ORG,bupati,2
B-ORG,buron,2
B-ORG,bursa,9
B-ORG,bursa efek,2
B-ORG,bursa efek indonesia,17
B-ORG,bursa intercontinental exchange,2
B-ORG,business,3
B-ORG,business vice president power system,1
B-ORG,business vp power system schneider electric indonesia and timor leste,1
B-ORG,byan,6
B-ORG,c,3
B-ORG,cair,1
B-ORG,california,2
B-ORG,can,1
B-ORG,cape,7
B-ORG,capex,5
B-ORG,capital,2
B-ORG,carbon,1
B-ORG,carl,3
B-ORG,carro,6
B-ORG,carropt,1
B-ORG,cat,2
B-ORG,catl ),2
B-ORG,cc,8
B-ORG,cca ) indonesia,2
B-ORG,cccc,15
B-ORG,cco,1
B-ORG,ccus -,1
B-ORG,cec,2
B-ORG,ceko,2
B-ORG,cempaka,1
B-ORG,cend,2
B-ORG,cengk,2
B-ORG,cengkareng,2
B-ORG,center,7
B-ORG,center 1,2
B-ORG,central asia tbk,2
B-ORG,centre,1
B-ORG,ceo,35
B-ORG,ceo & founder,1
B-ORG,ceo and founder wmpp,1
B-ORG,ceo dan founder,1
B-ORG,ceo pertamina,1
B-ORG,ceo pertamina nre,4
B-ORG,ceo pt volta indonesia semesta,1
B-ORG,ceo pt widodo makmur perkasa,1
B-ORG,ceo pt widodo makmur perkasa tbk,1
B-ORG,ceo star energy geothermal group,3
B-ORG,ceo subholding commercial & trading mas [unk] ud,2
B-ORG,ceo subholding pnre dan,2
B-ORG,ceo subholding power and,2
B-ORG,ceo sumber energy group,2
B-ORG,ceo tesla,4
B-ORG,ceo vision,2
B-ORG,cepat,2
B-ORG,cepat jakarta,1
B-ORG,ceruk,3
B-ORG,cfo of sun energy,1
B-ORG,ch,1
B-ORG,chair,1
B-ORG,chairman,2
B-ORG,chandra,13
B-ORG,chang,6
B-ORG,char,3
B-ORG,chd,7
B-ORG,chdgx,2
B-ORG,chdoi,1
B-ORG,che,1
B-ORG,chee,1
B-ORG,chem,4
B-ORG,chemical industry development,1
B-ORG,chev,1
B-ORG,chevron,3
B-ORG,chevron raja,2
B-ORG,chief,9
B-ORG,chief executive officer,2
B-ORG,chief executive officer ( ceo ),5
B-ORG,chief executive officer ( ceo ) sun energy,1
B-ORG,chief executive officer ignis energy holdings,1
B-ORG,chief executive officer pertamina power indonesia,1
B-ORG,chief financial officer of sun energy,1
B-ORG,chief operating officer hyundai,1
B-ORG,china,61
B-ORG,china catl,2
B-ORG,"china communications construction dredging co . , ltd",3
B-ORG,china electricity council,1
B-ORG,china huadian corporation,1
B-ORG,china railway group limited,1
B-ORG,china railway international co . ltd,1
B-ORG,china railway signal and communication corp,1
B-ORG,chip,1
B-ORG,chris,5
B-ORG,christ,2
B-ORG,chua,2
B-ORG,cianjur,2
B-ORG,cianjur arta makmur,1
B-ORG,cilacap,30
B-ORG,cilama,2
B-ORG,ciliwung,1
B-ORG,cina,2
B-ORG,ciner,1
B-ORG,cipta,4
B-ORG,ciputra,1
B-ORG,cir,60
B-ORG,cirata,137
B-ORG,cirebon,2
B-ORG,cis,6
B-ORG,cisem,2
B-ORG,cita,2
B-ORG,clean energy ],5
B-ORG,clean energy indonesia,1
B-ORG,clo,2
B-ORG,close,10
B-ORG,closing,1
B-ORG,closing bell,2
B-ORG,cluster,1
B-ORG,cms,2
B-ORG,cnbc ],18
B-ORG,cnbc ] advertisement scroll,1
B-ORG,cnbc idonesia,1
B-ORG,cnbc indoesia,1
B-ORG,cnbc indonesia (,2
B-ORG,cnbc indonesia - batu bara ri,2
B-ORG,cnbc indonesia - mind id,2
B-ORG,cnbc indonesia - pln,2
B-ORG,cnbc indonesia - ri,19
B-ORG,cnbc indonesia award 2021,3
B-ORG,cnbc indonesia awards,2
B-ORG,cnbc indonesia awards 2021,2
B-ORG,cnbc indonesia awards 2022,1
B-ORG,cnbc indonesia economic update,1
B-ORG,cnbc indonesia green economic forum,2
B-ORG,cnbc indonesia mining forum,2
B-ORG,"cnbc indonesia mining forum "" mining for better tomorrow",1
B-ORG,cnbc indonesia tv,20
B-ORG,cnbc indonesia tv lainnya,5
B-ORG,cnbc international,2
B-ORG,cnbc make it,1
B-ORG,cnbcindonesia,9
B-ORG,coca - cola amatil,2
B-ORG,cod,12
B-ORG,cold chain ) fresh factory,1
B-ORG,combat management system,2
B-ORG,combinator,2
B-ORG,combine,2
B-ORG,comm,2
B-ORG,commercial,2
B-ORG,commerz,1
B-ORG,commodity,1
B-ORG,communication,4
B-ORG,communication & sustainability director coca - cola amatil indonesia,2
B-ORG,commuter,2
B-ORG,companies market,1
B-ORG,company,2
B-ORG,compet,2
B-ORG,componen,2
B-ORG,conc,1
B-ORG,concern,5
B-ORG,conditions,1
B-ORG,conference,1
B-ORG,construc,2
B-ORG,construction & energy,1
B-ORG,content,20
B-ORG,cook,2
B-ORG,copper,2
B-ORG,cor,1
B-ORG,core,1
B-ORG,corona,34
B-ORG,corp,2
B-ORG,corporate,13
B-ORG,corporate affairs director multi bintang indonesia,2
B-ORG,corporate communication & investor relations pertamina,1
B-ORG,corporate gm mitsubishi,1
B-ORG,corporate secretary bright pln batam,1
B-ORG,corporate secretary pertamina nre,1
B-ORG,corporate secretary pt adhi karya ( persero ) tbk,1
B-ORG,corporate secretary pt pertamina power indonesia,2
B-ORG,corporate secretary ptba,1
