NER_Label,Entity,Counts
B-ORG,cnbc indonesia award 2021,1
B-ORG,cnbc indonesia awards 2022,1
B-ORG,cnbc indonesia mining forum,6
B-ORG,cnbc indonesia tv,15
B-ORG,cnbc indonesiaspiderman no way home,1
B-ORG,cnbc internasional,1
B-ORG,cnbc international,11
B-ORG,cnbc make it,1
B-ORG,cnbcindones,1
B-ORG,cnbcindonesia,5
B-ORG,cncb indonesia,1
B-ORG,cnn,9
B-ORG,cnn indonesia,2
B-ORG,cnn international,1
B-ORG,cnpc,1
B-ORG,co,1
B-ORG,cod,1
B-ORG,coin market cap,1
B-ORG,coinmarketcap,1
B-ORG,col4,2
B-ORG,col5,1
B-ORG,columbia,2
B-ORG,com,1
B-ORG,comment,1
B-ORG,commer,2
B-ORG,commerz,2
B-ORG,commodity,1
B-ORG,commonwealth,2
B-ORG,commonwealth bank of australia,1
B-ORG,comp,2
B-ORG,companies market,2
B-ORG,company,2
B-ORG,conference,1
B-ORG,cons,1
B-ORG,construction,1
B-ORG,content,9
B-ORG,continental,1
B-ORG,convention,1
B-ORG,copenhagen atomics,1
B-ORG,corona,8
B-ORG,coronavirus,1
B-ORG,corporate,2
B-ORG,corporate affairs director multi bintang indonesia,1
B-ORG,corporation,3
B-ORG,council,2
B-ORG,country,1
B-ORG,country leader ge indonesia,2
B-ORG,covid,3
B-ORG,cp,2
B-ORG,cpin,1
B-ORG,cre,1
B-ORG,credit,1
B-ORG,creei,1
B-ORG,crit,2
B-ORG,cs,2
B-ORG,csis,1
B-ORG,ct,2
B-ORG,cua,1
B-ORG,cuan,4
B-ORG,cuap cuap cuan,1
B-ORG,cur,1
B-ORG,cyber,2
B-ORG,d,2
B-ORG,dad,1
B-ORG,dada,1
B-ORG,dadan,2
B-ORG,dadan kus,1
B-ORG,dadan kusdiana,2
B-ORG,dahana,2
B-ORG,dahlan,1
B-ORG,dahsyat,1
B-ORG,daihatsu,1
B-ORG,dana moneter internasional,1
B-ORG,danar,2
B-ORG,dani,1
B-ORG,darma,15
B-ORG,darmawan,21
B-ORG,date,1
B-ORG,daur,2
B-ORG,dave,1
B-ORG,david,4
B-ORG,dax jerman,2
B-ORG,dbs,1
B-ORG,dbs indonesia,1
B-ORG,decision,1
B-ORG,delegasi,2
B-ORG,deli,1
B-ORG,delta,11
B-ORG,dem,1
B-ORG,demokrat,1
B-ORG,den,4
B-ORG,denmark,2
B-ORG,departemen,18
B-ORG,departemen podcast,1
B-ORG,deputi,4
B-ORG,deputi gubernur senior dest,1
B-ORG,deputi i bidang infrastruktur,1
B-ORG,der spiegel,1
B-ORG,desa,14
B-ORG,desa kincir,6
B-ORG,desa wono sari,1
B-ORG,desember,1
B-ORG,detik,1
B-ORG,detikcom,1
B-ORG,deutsche,4
B-ORG,deutsche bank,1
B-ORG,dewan,31
B-ORG,dewan energi nasional,1
B-ORG,dewan investasi sri lanka,1
B-ORG,dewan kelistrikan china,2
B-ORG,dewi,1
B-ORG,dharma,2
B-ORG,dhl,1
B-ORG,dieng,1
B-ORG,digital,2
B-ORG,dile,3
B-ORG,dileep,1
B-ORG,dinas,1
B-ORG,dipa,10
B-ORG,dipa energi,2
B-ORG,dir,3
B-ORG,diramal,2
B-ORG,director,2
B-ORG,direksi,3
B-ORG,direktorat,19
B-ORG,direktorat jenderal energi baru terbarukan dan konservasi energi,3
B-ORG,direktur adaro power,2
B-ORG,direktur aneka energi,2
B-ORG,direktur aneka energi baru dan energi,2
B-ORG,direktur aneka energi baru dan energi terbarukan,3
B-ORG,direktur bisnis regional maluku,1
B-ORG,direktur bisnis regional sumatera kalimantan,1
B-ORG,direktur center of economic and law studies,1
B-ORG,direktur eksekutif,2
B-ORG,direktur eksekutif iesr,1
B-ORG,direktur eksekutif institute for essential services reform,3
B-ORG,direktur eksplorasi dan pengembangan pt pertamina geothermal energy,1
B-ORG,direktur human capital management pt pln ( persero ),6
B-ORG,direktur jenderal ebtk,1
B-ORG,direktur jenderal energi,3
B-ORG,direktur jenderal energi baru,1
B-ORG,direktur jenderal energi baru terbarukan dan konservasi energi,2
B-ORG,direktur jenderal energi baru terbarukan dan konservasi energi kementerian energi dan sumber daya mineral,2
B-ORG,direktur jenderal industri logam mesin alat transportasi dan elektronika,1
B-ORG,direktur jenderal mineral dan,2
B-ORG,direktur jenderal mineral dan batubara,2
B-ORG,direktur jenderal pusat prakiraan cuaca,1
B-ORG,direktur keuangan bipi,1
B-ORG,direktur manajemen proyek,3
B-ORG,direktur manajemen proyek dan ebt pln,4
B-ORG,direktur manajemen proyek dan ebt pt pln,1
B-ORG,direktur mega project pln,3
B-ORG,direktur mega project pt pln,1
B-ORG,direktur mining and metals industry indonesia,1
B-ORG,direktur panas bumi,2
B-ORG,direktur panas bumi ditjen ebtke,5
B-ORG,direktur perencanaan investasi dan manajemen risiko,1
B-ORG,direktur perencanaan korporat pln,4
B-ORG,direktur perencanaan strategis dan pengembangan bisnis pt pertamina power indonesia,3
B-ORG,direktur pt bayan resources,1
