NER_Label,Entity,Counts
B-ORG,aes,5
B-ORG,aesi,27
B-ORG,aff,7
B-ORG,afghanistan,1
B-ORG,afghanistansen,1
B-ORG,afi,2
B-ORG,afif,1
B-ORG,afrika,11
B-ORG,afrikapltskinshasa,1
B-ORG,afrikapt,1
B-ORG,afrikasel,2
B-ORG,afrikatimur,3
B-ORG,ag,3
B-ORG,agenpenjualreksadana,2
B-ORG,agesystem,2
B-ORG,agr,1
B-ORG,agrasuryaenergy,2
B-ORG,agrasuryainvestindo,3
B-ORG,agreement,4
B-ORG,agriculture,1
B-ORG,agrik,1
B-ORG,agro,3
B-ORG,agun,2
B-ORG,agung,18
B-ORG,agus,21
B-ORG,agustus,14
B-ORG,ah,1
B-ORG,ahaman,2
B-ORG,ahlipengembangansosialdankemasyarakatan,1
B-ORG,ahmad,6
B-ORG,ahok,2
B-ORG,ai,2
B-ORG,aid,1
B-ORG,ain,2
B-ORG,airlanga,2
B-ORG,airlangga,35
B-ORG,airlanggahartarto,2
B-ORG,airport,2
B-ORG,airportoperationcontrolcenter,4
B-ORG,airproducts&chemicalsinc,1
B-ORG,airqualitymonitoringstation,1
B-ORG,ajak,1
B-ORG,aji,1
B-ORG,ajinomotoindonesia,1
B-ORG,aju,1
B-ORG,akademisi,2
B-ORG,akademisiinstitutteknologisepuluhnovember,1
B-ORG,akami,3
B-ORG,akb,6
B-ORG,akd,1
B-ORG,aking,2
B-ORG,akingbaru,1
B-ORG,aklin,1
B-ORG,akmalaputri,5
B-ORG,akomodasistartup,2
B-ORG,akra,3
B-ORG,aksebi,1
B-ORG,akselerasi,4
B-ORG,aku,1
B-ORG,akumindo,1
B-ORG,al,33
B-ORG,ala,1
B-ORG,alamat,3
B-ORG,alan,1
B-ORG,ald,4
B-ORG,alert,1
B-ORG,alex,6
B-ORG,alexy,2
B-ORG,alexykay,1
B-ORG,alfa,8
B-ORG,alfamart,2
B-ORG,alfindo,3
B-ORG,alga,1
B-ORG,alh,7
B-ORG,alham,4
B-ORG,alhamdulil,1
B-ORG,ali,2
B-ORG,aliansi,1
B-ORG,allah,2
B-ORG,allen,1
B-ORG,allens,1
B-ORG,alliance,3
B-ORG,alloy,2
B-ORG,alma,1
B-ORG,aloft,1
B-ORG,alor,2
B-ORG,aloy,1
B-ORG,als,1
B-ORG,alternatives,1
B-ORG,alto,2
B-ORG,altobankindonesia,2
B-ORG,aluminium,1
B-ORG,alumni,1
B-ORG,alumunium,5
B-ORG,alur,1
B-ORG,alwi,4
B-ORG,alwin,2
B-ORG,ama,1
B-ORG,amand,1
B-ORG,amar,1
B-ORG,amat,1
B-ORG,amazon,43
B-ORG,amazonwebservices,3
B-ORG,amerika,5
B-ORG,amerikaserikat,2
B-ORG,ami,8
B-ORG,ammanmineral,2
B-ORG,ammonia,8
B-ORG,ammoniadengan,2
B-ORG,ammoniamer,2
B-ORG,ammoniaterintegrasi,2
B-ORG,ammoniayang,2
B-ORG,amms,1
B-ORG,amnt,2
B-ORG,amoniumnitrat,1
B-ORG,anak,1
B-ORG,analis,4
B-ORG,analisa,3
B-ORG,ananda,6
B-ORG,anantara,2
B-ORG,anantaraenergi,2
B-ORG,anc,1
B-ORG,andal,1
B-ORG,andi,1
B-ORG,andika,3
B-ORG,andor,2
B-ORG,andr,2
B-ORG,andrean,2
B-ORG,andrew,3
B-ORG,andriah,1
B-ORG,andrijan,1
B-ORG,andumof,2
B-ORG,andy,6
B-ORG,aneka,13
B-ORG,anekaenergi,3
B-ORG,anekatambang,2
B-ORG,ang,6
B-ORG,ang),1
B-ORG,angel,1
B-ORG,anggono,1
B-ORG,anggotapeta,1
B-ORG,anggrae,1
B-ORG,angin,1
B-ORG,angkasa,22
B-ORG,angkasapurai,1
B-ORG,angkasapuraii,7
B-ORG,angkasapuraiikamis,1
B-ORG,angkasapuraproperty,1
B-ORG,angkatan,2
B-ORG,angkum,1
B-ORG,ani,1
B-ORG,anies,3
B-ORG,anna,3
B-ORG,annealing,2
B-ORG,anoda,1
B-ORG,ant,21
B-ORG,antam,3
B-ORG,antar,1
B-ORG,antara,6
B-ORG,antasari,1
B-ORG,anthonisalim,1
B-ORG,anthonyutomo,1
B-ORG,antisipasi,2
B-ORG,antisipasikriminalitas,1
B-ORG,antm,3
B-ORG,antonio,1
B-ORG,anugerah,1
B-ORG,anugr,2
B-ORG,anugrahnusantara,1
B-ORG,anung,2
B-ORG,anwar,2
B-ORG,ao,3
B-ORG,aocc,20
B-ORG,ap,10
B-ORG,ap)ii,1
B-ORG,ap2,1
B-ORG,apa,10
B-ORG,apastrategipengembanganindustrihijau?selengkapnya,1
B-ORG,apbi,2
B-ORG,apbn,16
B-ORG,apbn2016,1
B-ORG,apci,2
B-ORG,aperd,2
B-ORG,api,2
B-ORG,apii,9
B-ORG,apindo,1
B-ORG,apls,2
B-ORG,apollonius,1
B-ORG,april,12
B-ORG,april2022,2
B-ORG,aqms,1
B-ORG,ar,2
B-ORG,ara,7
B-ORG,arab,40
B-ORG,aramco,4
B-ORG,aramcodikebutaramco,2
B-ORG,arb,2
B-ORG,arc,3
B-ORG,arca,9
B-ORG,arcandra,8
B-ORG,arctic,1
B-ORG,ard,1
B-ORG,area,11
B-ORG,arenakan,1
B-ORG,arfiyan,4
B-ORG,argikul,1
B-ORG,ari,9
B-ORG,ariana,4
B-ORG,arief,2
B-ORG,aries,5
B-ORG,arif,1
B-ORG,arifin,42
B-ORG,ario,3
B-ORG,arist,8
B-ORG,aristapalembang,1
B-ORG,arit,1
B-ORG,arko,1
B-ORG,arkora,3
B-ORG,arno,2
B-ORG,aro,1
B-ORG,ars,9
B-ORG,arsal,3
B-ORG,arsjad,7
B-ORG,arso,2
B-ORG,artaci,1
B-ORG,arthane,3
B-ORG,arthaneli,2
B-ORG,artikel,4
B-ORG,aru,1
B-ORG,aruna,3
B-ORG,arunapv,1
B-ORG,arutm,3
